Search string                    Error Message
&amp;Ccaron;                     E / Do not convert ampersand on conversion
&amp;ccirc;                      E / Do not convert ampersand on conversion
&amp;Ccirc;                      E / Do not convert ampersand on conversion
&amp;cdot;                       E / Do not convert ampersand on conversion
&amp;Cdot;                       E / Do not convert ampersand on conversion
&amp;dcaron;                     E / Do not convert ampersand on conversion
&amp;Dcaron;                     E / Do not convert ampersand on conversion
&amp;dstrok;                     E / Do not convert ampersand on conversion
&amp;Dstrok;                     E / Do not convert ampersand on conversion
&amp;ecaron;                     E / Do not convert ampersand on conversion
&amp;Ecaron;                     E / Do not convert ampersand on conversion
&amp;edot;                       E / Do not convert ampersand on conversion
&amp;Edot;                       E / Do not convert ampersand on conversion
&amp;emacr;                      E / Do not convert ampersand on conversion
&amp;Emacr;                      E / Do not convert ampersand on conversion
&amp;eogon;                      E / Do not convert ampersand on conversion
&amp;Eogon;                      E / Do not convert ampersand on conversion
&amp;etilde;                     E / Do not convert ampersand on conversion
&amp;gacute;                     E / Do not convert ampersand on conversion
&amp;gbreve;                     E / Do not convert ampersand on conversion
&amp;Gbreve;                     E / Do not convert ampersand on conversion
&amp;Gcedil;                     E / Do not convert ampersand on conversion
&amp;gcirc;                      E / Do not convert ampersand on conversion
&amp;Gcirc;                      E / Do not convert ampersand on conversion
&amp;gdot;                       E / Do not convert ampersand on conversion
&amp;Gdot;                       E / Do not convert ampersand on conversion
&amp;hcirc;                      E / Do not convert ampersand on conversion
&amp;Hcirc;                      E / Do not convert ampersand on conversion
&amp;hstrok;                     E / Do not convert ampersand on conversion
&amp;Hstrok;                     E / Do not convert ampersand on conversion
&amp;Idot;                       E / Do not convert ampersand on conversion
&amp;Imacr;                      E / Do not convert ampersand on conversion
&amp;imacr;                      E / Do not convert ampersand on conversion
&amp;ijlig;                      E / Do not convert ampersand on conversion
&amp;IJlig;                      E / Do not convert ampersand on conversion
&amp;inodot;                     E / Do not convert ampersand on conversion
&amp;iogon;                      E / Do not convert ampersand on conversion
&amp;Iogon;                      E / Do not convert ampersand on conversion
&amp;Itilde;                     E / Do not convert ampersand on conversion
&amp;jcirc;                      E / Do not convert ampersand on conversion
&amp;Jcirc;                      E / Do not convert ampersand on conversion
&amp;kcedil;                     E / Do not convert ampersand on conversion
&amp;Kcedil;                     E / Do not convert ampersand on conversion
&amp;kgreen;                     E / Do not convert ampersand on conversion
&amp;lacute;                     E / Do not convert ampersand on conversion
&amp;Lacute;                     E / Do not convert ampersand on conversion
&amp;lcaron;                     E / Do not convert ampersand on conversion
&amp;Lcaron;                     E / Do not convert ampersand on conversion
&amp;lcedil;                     E / Do not convert ampersand on conversion
&amp;Lcedil;                     E / Do not convert ampersand on conversion
&amp;lmidot;                     E / Do not convert ampersand on conversion
&amp;Lmidot;                     E / Do not convert ampersand on conversion
&amp;lstrok;                     E / Do not convert ampersand on conversion
&amp;Nacute;                     E / Do not convert ampersand on conversion
&amp;eng;                        E / Do not convert ampersand on conversion
&amp;ENG;                        E / Do not convert ampersand on conversion
&amp;napos;                      E / Do not convert ampersand on conversion
&amp;ncaron;                     E / Do not convert ampersand on conversion
